search_code,code,name
tse_1817.tw,1817,凱撒衛
tse_1903.tw,1903,士紙
tse_1904.tw,1904,正隆
tse_1905.tw,1905,華紙
tse_1906.tw,1906,寶隆
tse_1907.tw,1907,永豐餘
tse_1909.tw,1909,榮成
tse_2002.tw,2002,中鋼
tse_2006.tw,2006,東和鋼鐵
tse_2007.tw,2007,燁興
tse_2008.tw,2008,高興昌
tse_2009.tw,2009,第一銅
tse_2010.tw,2010,春源
tse_2012.tw,2012,春雨
tse_2013.tw,2013,中鋼構
tse_2014.tw,2014,中鴻
tse_2015.tw,2015,豐興
tse_2017.tw,2017,官田鋼
tse_2020.tw,2020,美亞
tse_2022.tw,2022,聚亨
tse_2023.tw,2023,燁輝
tse_2024.tw,2024,志聯
tse_2025.tw,2025,千興
tse_2027.tw,2027,大成鋼
tse_2028.tw,2028,威致
tse_2029.tw,2029,盛餘
tse_2030.tw,2030,彰源
tse_2031.tw,2031,新光鋼
tse_2032.tw,2032,新鋼
tse_2033.tw,2033,佳大
tse_2034.tw,2034,允強
tse_2038.tw,2038,海光
tse_2049.tw,2049,上銀
tse_2059.tw,2059,川湖
tse_2062.tw,2062,橋椿
tse_2069.tw,2069,運錩
tse_2101.tw,2101,南港
tse_2102.tw,2102,泰豐
tse_2103.tw,2103,台橡
tse_2104.tw,2104,國際中橡
tse_2105.tw,2105,正新
tse_2106.tw,2106,建大
tse_2107.tw,2107,厚生
tse_2108.tw,2108,南帝
tse_2109.tw,2109,華豐
tse_2114.tw,2114,鑫永銓
tse_2115.tw,2115,六暉-KY
tse_2201.tw,2201,裕隆
tse_2204.tw,2204,中華
tse_2206.tw,2206,三陽工業
tse_2207.tw,2207,和泰車
tse_2208.tw,2208,台船
tse_2211.tw,2211,長榮鋼
tse_2227.tw,2227,裕日車
tse_2228.tw,2228,劍麟
tse_2231.tw,2231,為升
tse_2233.tw,2233,宇隆
tse_2236.tw,2236,百達-KY
tse_2239.tw,2239,英利-KY
tse_2241.tw,2241,艾姆勒
tse_2243.tw,2243,宏旭-KY
tse_2247.tw,2247,汎德永業
tse_2250.tw,2250,IKKA-KY
tse_2301.tw,2301,光寶科
tse_2302.tw,2302,麗正
tse_2303.tw,2303,聯電
tse_2305.tw,2305,全友
tse_2308.tw,2308,台達電
tse_2312.tw,2312,金寶
tse_2313.tw,2313,華通
tse_2314.tw,2314,台揚
tse_2316.tw,2316,楠梓電
tse_2317.tw,2317,鴻海
tse_2321.tw,2321,東訊
tse_2323.tw,2323,中環
tse_2324.tw,2324,仁寶
tse_2327.tw,2327,國巨
tse_2328.tw,2328,廣宇
tse_2329.tw,2329,華泰
tse_2330.tw,2330,台積電
tse_2331.tw,2331,精英
tse_2332.tw,2332,友訊
tse_2337.tw,2337,旺宏
tse_2338.tw,2338,光罩
tse_2340.tw,2340,光磊
tse_2342.tw,2342,茂矽
tse_2344.tw,2344,華邦電
tse_2345.tw,2345,智邦
tse_2347.tw,2347,聯強
tse_2348.tw,2348,海悅
tse_2349.tw,2349,錸德
tse_2351.tw,2351,順德
tse_2352.tw,2352,佳世達
tse_2353.tw,2353,宏碁
tse_2354.tw,2354,鴻準
tse_2355.tw,2355,敬鵬
tse_2356.tw,2356,英業達
tse_2357.tw,2357,華碩
tse_2358.tw,2358,廷鑫
tse_2359.tw,2359,所羅門
tse_2360.tw,2360,致茂
tse_2362.tw,2362,藍天
tse_2363.tw,2363,矽統
tse_2364.tw,2364,倫飛
tse_2365.tw,2365,昆盈
tse_2367.tw,2367,燿華
tse_2368.tw,2368,金像電
tse_2369.tw,2369,菱生
tse_2371.tw,2371,大同
tse_2373.tw,2373,震旦行
tse_2374.tw,2374,佳能
tse_2375.tw,2375,凱美
tse_2376.tw,2376,技嘉
tse_2377.tw,2377,微星
tse_2379.tw,2379,瑞昱
tse_2380.tw,2380,虹光
tse_2382.tw,2382,廣達
tse_2383.tw,2383,台光電
tse_2385.tw,2385,群光
tse_2387.tw,2387,精元
tse_2388.tw,2388,威盛
tse_2390.tw,2390,云辰
tse_2392.tw,2392,正崴
tse_2393.tw,2393,億光
tse_2395.tw,2395,研華
tse_2397.tw,2397,友通
tse_2399.tw,2399,映泰
tse_2401.tw,2401,凌陽
tse_2402.tw,2402,毅嘉
tse_2404.tw,2404,漢唐
tse_2405.tw,2405,浩鑫
tse_2406.tw,2406,國碩
tse_2408.tw,2408,南亞科
tse_2409.tw,2409,友達
tse_2412.tw,2412,中華電
tse_2413.tw,2413,環科
tse_2414.tw,2414,精技
tse_2415.tw,2415,錩新
tse_2417.tw,2417,圓剛
tse_2419.tw,2419,仲琦
tse_2420.tw,2420,新巨
tse_2421.tw,2421,建準
tse_2423.tw,2423,固緯
tse_2424.tw,2424,隴華
tse_2425.tw,2425,承啟
tse_2426.tw,2426,鼎元
tse_2427.tw,2427,三商電
tse_2428.tw,2428,興勤
tse_2429.tw,2429,銘旺科
tse_2430.tw,2430,燦坤
tse_2431.tw,2431,聯昌
tse_2433.tw,2433,互盛電
tse_2434.tw,2434,統懋
